vacc_on,immune_escape,matched_vacc,matched_vacc_level,vfr2,name,rt,max_t,income_group,target_pop,hs_constraints,dt,seeding_cases,age_groups_covered,age_groups_covered_d3,age_groups_covered_d4,age_groups_covered_d5,max_coverage,vacc_period,vacc_start,vaccine_doses,vfr,vfr_time1,vfr_time2,vfr2_time1,vfr2_time2,vaccine,mu_ab_d1,mu_ab_d2,k,hl_l,hl_s,period_s,period_l,ab_50,ab_50_severe,std10,max_ab,mu_ab_infection,std10_infection,mu_ab_inf_scal_vfr,repetition,hosp_scal,ICU_scal,b1,scenario_name,index
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.21730769230769229,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,1,1,0.03,undefined,1
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.21730769230769229,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,2,1,1,0.03,undefined,2
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.21730769230769229,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,3,1,1,0.03,undefined,3
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.21730769230769229,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,4,1,1,0.03,undefined,4
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.21730769230769229,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,5,1,1,0.03,undefined,5
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.21730769230769229,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,6,1,1,0.03,undefined,6
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.21730769230769229,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,7,1,1,0.03,undefined,7
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.21730769230769229,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,8,1,1,0.03,undefined,8
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.21730769230769229,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,9,1,1,0.03,undefined,9
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.21730769230769229,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,10,1,1,0.03,undefined,10
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.3259615384615384,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,1,1,0.03,undefined,11
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.3259615384615384,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,2,1,1,0.03,undefined,12
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.3259615384615384,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,3,1,1,0.03,undefined,13
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.3259615384615384,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,4,1,1,0.03,undefined,14
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.3259615384615384,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,5,1,1,0.03,undefined,15
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.3259615384615384,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,6,1,1,0.03,undefined,16
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.3259615384615384,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,7,1,1,0.03,undefined,17
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.3259615384615384,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,8,1,1,0.03,undefined,18
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.3259615384615384,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,9,1,1,0.03,undefined,19
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.3259615384615384,0.3259615384615384,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,10,1,1,0.03,undefined,20
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.43461538461538457,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,1,1,0.03,undefined,21
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.43461538461538457,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,2,1,1,0.03,undefined,22
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.43461538461538457,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,3,1,1,0.03,undefined,23
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.43461538461538457,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,4,1,1,0.03,undefined,24
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.43461538461538457,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,5,1,1,0.03,undefined,25
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.43461538461538457,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,6,1,1,0.03,undefined,26
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.43461538461538457,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,7,1,1,0.03,undefined,27
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.43461538461538457,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,8,1,1,0.03,undefined,28
0,0,1,1,1,scenario1,3,4015,HIC,1000000,Absent,0.25,10,2,14,14,14,0.95,30,4015,1,1,1,30,1095,1185,vaccine,0.43461538461538457,0.43461538461538457,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,9,1,1,0.03,undefined,29
